ai_X_level,ai_O_level,starting_player,winner,moves,duration_s
1,1,X,X,7,0.000134
1,1,X,O,6,0.000070
1,1,X,X,7,0.000026
1,1,X,X,9,0.000047
1,1,X,X,7,0.000030
1,1,X,O,6,0.000051
1,1,X,X,7,0.000100
1,1,X,O,8,0.000052
1,1,X,X,7,0.000114
1,1,X,X,7,0.000075
1,1,X,X,7,0.000026
1,1,X,O,6,0.000023
1,1,X,X,7,0.000053
1,1,X,Tie,9,0.000093
1,1,X,X,7,0.000262
1,1,X,O,6,0.000024
1,1,X,O,6,0.000056
1,1,X,X,9,0.000041
1,1,X,Tie,9,0.000091
1,1,X,X,5,0.000077
1,1,X,O,6,0.000045
1,1,X,O,6,0.000079
1,1,X,O,8,0.000095
1,1,X,X,9,0.000059
1,1,X,X,9,0.000040
1,1,X,O,6,0.000018
1,1,X,O,8,0.000148
1,1,X,X,9,0.000061
1,1,X,X,7,0.000127
1,1,X,X,9,0.000043
1,1,X,O,6,0.000019
1,1,X,X,7,0.000061
1,1,X,X,9,0.000040
1,1,X,O,6,0.000024
1,1,X,X,7,0.000086
1,1,X,X,7,0.000109
1,1,X,X,5,0.000020
1,1,X,X,7,0.000088
1,1,X,Tie,9,0.000059
1,1,X,X,7,0.000059
1,1,X,O,8,0.000042
1,1,X,X,9,0.000106
1,1,X,X,7,0.000084
1,1,X,X,9,0.000041
1,1,X,X,5,0.000012
1,1,X,Tie,9,0.000075
1,1,X,Tie,9,0.000054
1,1,X,X,5,0.000022
1,1,X,X,9,0.000032
1,1,X,O,8,0.000037
1,1,X,X,7,0.000034
1,1,X,O,6,0.000020
1,1,X,X,7,0.000030
1,1,X,X,7,0.000027
1,1,X,X,5,0.000021
1,1,X,X,9,0.000044
1,1,X,X,9,0.000032
1,1,X,O,6,0.000026
1,1,X,X,9,0.000039
1,1,X,X,7,0.000025
1,1,X,O,8,0.000030
1,1,X,X,5,0.000025
1,1,X,X,9,0.000048
1,1,X,X,5,0.000017
1,1,X,Tie,9,0.000046
1,1,X,O,8,0.000028
1,1,X,X,7,0.000032
1,1,X,X,7,0.000023
1,1,X,X,5,0.000015
1,1,X,X,5,0.000021
1,1,X,O,6,0.000018
1,1,X,X,7,0.000029
1,1,X,X,9,0.000043
1,1,X,Tie,9,0.000043
1,1,X,X,9,0.000040
1,1,X,X,9,0.000039
1,1,X,X,9,0.000036
1,1,X,O,8,0.000040
1,1,X,X,7,0.000045
1,1,X,Tie,9,0.000044
1,1,X,X,9,0.000074
1,1,X,X,7,0.000031
1,1,X,O,8,0.000039
1,1,X,X,7,0.000093
1,1,X,Tie,9,0.000056
1,1,X,X,9,0.000037
1,1,X,O,8,0.000040
1,1,X,O,8,0.000052
1,1,X,Tie,9,0.000054
1,1,X,Tie,9,0.000038
1,1,X,O,6,0.000023
1,1,X,X,9,0.000032
1,1,X,X,9,0.000036
1,1,X,Tie,9,0.000041
1,1,X,X,7,0.000026
1,1,X,Tie,9,0.000036
1,1,X,O,8,0.000029
1,1,X,X,7,0.000028
1,1,X,X,9,0.000045
1,1,X,X,7,0.000028
1,1,X,Tie,9,0.000055
1,1,X,X,7,0.000024
1,1,X,O,6,0.000027
1,1,X,O,6,0.000020
1,1,X,O,8,0.000051
1,1,X,Tie,9,0.000047
1,1,X,X,9,0.000042
1,1,X,X,9,0.000038
1,1,X,X,9,0.000066
1,1,X,X,5,0.000016
1,1,X,O,8,0.000029
1,1,X,Tie,9,0.000053
1,1,X,O,8,0.000060
1,1,X,O,8,0.000027
1,1,X,O,8,0.000034
1,1,X,O,8,0.000028
1,1,X,O,8,0.000044
1,1,X,O,8,0.000036
1,1,X,X,9,0.000034
1,1,X,X,9,0.000049
1,1,X,X,7,0.000027
1,1,X,O,8,0.000038
1,1,X,X,7,0.000030
1,1,X,X,7,0.000024
1,1,X,Tie,9,0.000037
1,1,X,X,9,0.000036
1,1,X,X,5,0.000016
1,1,X,X,7,0.000029
1,1,X,X,7,0.000025
1,1,X,X,7,0.000024
1,1,X,Tie,9,0.000055
1,1,X,X,9,0.000047
1,1,X,Tie,9,0.000048
1,1,X,X,9,0.000049
1,1,X,O,8,0.000038
1,1,X,X,5,0.000014
1,1,X,X,7,0.000025
1,1,X,O,6,0.000021
1,1,X,X,9,0.000046
1,1,X,O,8,0.000047
1,1,X,X,7,0.000027
1,1,X,X,9,0.000033
1,1,X,O,6,0.000019
1,1,X,X,9,0.000040
1,1,X,X,7,0.000034
1,1,X,X,7,0.000028
1,1,X,O,8,0.000036
1,1,X,O,8,0.000033
1,1,X,X,5,0.000016
1,1,X,O,8,0.000038
1,1,O,O,7,0.000027
1,1,O,O,9,0.000042
1,1,O,O,9,0.000033
1,1,O,O,9,0.000034
1,1,O,X,6,0.000027
1,1,O,O,5,0.000021
1,1,O,O,9,0.000041
1,1,O,O,7,0.000028
1,1,O,O,7,0.000034
1,1,O,O,9,0.000043
1,1,O,O,7,0.000029
1,1,O,X,8,0.000065
1,1,O,O,7,0.000032
1,1,O,X,6,0.000023
1,1,O,X,6,0.000028
1,1,O,O,9,0.000044
1,1,O,O,7,0.000033
1,1,O,O,9,0.000045
1,1,O,X,8,0.000029
1,1,O,X,8,0.000036
1,1,O,X,6,0.000024
1,1,O,X,8,0.000033
1,1,O,O,5,0.000015
1,1,O,O,7,0.000031
1,1,O,X,8,0.000046
1,1,O,X,8,0.000030
1,1,O,O,7,0.000036
1,1,O,Tie,9,0.000039
1,1,O,O,7,0.000035
1,1,O,O,7,0.000028
1,1,O,Tie,9,0.000037
